AVEDEV,1.47792E+11,1.035061728,5.269135802,5.61406E+14,1.422222222,5.957530864,2.54617284,2.160987654,21286.08691,143503624355383000000000,,,,,,,,,,,,,,,,
SKEW,5.002567002,-0.253523198,0.592415497,6.473350028,0.58481183,0.225929483,0.175683323,-0.283066397,2.827366796,5,,,,,,,,,,,,,,,,
SKEW.P,4.834246311,-0.244992938,0.572482574,6.255542101,0.565134746,0.218327664,0.16977213,-0.273542101,2.73223477,5,,,,,,,,,,,,,,,,
W-Eng,,,,,,,,,,,,,,,,,,,,,,,,,,
AVERAGE,86630469424,6.176470588,10,1.07061E+12,5.411764706,13,29.76470588,4.058823529,65097.23529,101202397974669000000,,,,,,,,,,,,,,,,
MODE.MULT,#N/A,5,4,#N/A,4,18,32,6,#N/A,#N/A,,,,,,,,,,,,,,,,
MODE.SNGL,#N/A,5,4,#N/A,4,18,32,6,#N/A,#N/A,,,,,,,,,,,,,,,,
MEDIAN,925114141,6,10,18151919,5,13,29,5,68295,26114121016618500,,,,,,,,,,,,,,,,
VAR.P,9.41571E+22,1.08650519,45.64705882,1.82406E+25,2.359861592,49.41176471,7.356401384,4.408304498,816113513.7,108827131701384000000000000000000000000000,,,,,,,,,,,,,,,,
VAR.S,1.00042E+23,1.154411765,48.5,1.93806E+25,2.507352941,52.5,7.816176471,4.683823529,867120608.3,115628827432721000000000000000000000000000,,,,,,,,,,,,,,,,
AVEDEV,1.44068E+11,0.91349481,5.529411765,2.00983E+12,1.307958478,6,2.456747405,1.930795848,21787.39792,157664580869102000000,,,,,,,,,,,,,,,,
SKEW,4.091784989,0.292851144,0.634171701,4.12309161,0.611155642,-0.146359619,-0.134527895,-0.546639733,0.874637257,4,,,,,,,,,,,,,,,,
SKEW.P,3.721513612,0.266350632,0.576784612,3.749987252,0.555851309,-0.133115331,-0.122354277,-0.497173535,0.795490102,4,,,,,,,,,,,,,,,,
W-Not,,,,,,,,,,,,,,,,,,,,,,,,,,
AVERAGE,81624262302,5.821428571,8.357142857,4.81471E+14,7,9.928571429,31.07142857,3.678571429,76845.64286,124198401588518000000000,,,,,,,,,,,,,,,,
MODE.MULT,#N/A,6,#SPILL!,2.39121E+12,6,13,30,6,68108,#N/A,,,,,,,,,,,,,,,,
MODE.SNGL,#N/A,6,1,2.39121E+12,6,13,30,6,68108,#N/A,,,,,,,,,,,,,,,,
MEDIAN,125319904.5,6,9.5,14166664333,7,9,30.5,4.5,68108,1187507171311560000,,,,,,,,,,,,,,,,
VAR.P,1.63362E+23,2.218112245,36.01530612,4.54495E+30,2.714285714,44.85204082,9.994897959,5.503826531,1426261477,205991868913483000000000000000000000000000000000,,,,,,,,,,,,,,,,
VAR.S,1.69412E+23,2.30026455,37.34920635,4.71328E+30,2.814814815,46.51322751,10.36507937,5.707671958,1479085976,213621197391760000000000000000000000000000000000,,,,,,,,,,,,,,,,
AVEDEV,1.49966E+11,1.158163265,5.117346939,8.76332E+14,1.285714286,5.642857143,2.591836735,2.272959184,21731.51531,223633567553467000000000,,,,,,,,,,,,,,,,
SKEW,5.28613063,-0.223727905,0.533011363,5.100187113,0.86148228,0.454547441,0.188875293,-0.150542765,3.333167631,4,,,,,,,,,,,,,,,,
SKEW.P,4.998622519,-0.211559536,0.504021332,4.82279231,0.814626998,0.429824996,0.178602528,-0.142354873,3.151879502,4,,,,,,,,,,,,,,,,
